posting_id,status,headhunting_company,url,title,company_desc,main_duties,requirements,preferred,career,location,salary,deadline,first_seen_at,last_seen_at,last_fetched_at,score
333636,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/333636,(주)헤딩써치 채용 | [반도체 장비기업] 자동화설계 엔지니어 경력직 공고 - 리멤버,(주)헤딩써치에서 [반도체 장비기업] 자동화설계 엔지니어를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,45
333638,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/333638,(주)헤딩써치 채용 | [반도체 장비기업] 건조기 설계 엔지니어 경력직 공고 - 리멤버,(주)헤딩써치에서 [반도체 장비기업] 건조기 설계 엔지니어를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,45
333700,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/333700,(주)헤딩써치 채용 | [헤딩써치] 헤드헌터 (Junior/Senior Consultant) 경력직 공고 - 리멤버,(주)헤딩써치에서 [헤딩써치] 헤드헌터 (Junior/Senior Consultant)를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
333752,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/333752,(주)헤딩써치 채용 | 구매 파트 리더 경력직 공고 - 리멤버,(주)헤딩써치에서 구매 파트 리더를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
333821,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/333821,(주)헤딩써치 채용 | [자동화 선두기업] 기구설계 경력직 경력직 공고 - 리멤버,(주)헤딩써치에서 [자동화 선두기업] 기구설계 경력직를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
333841,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/333841,(주)헤딩써치 채용 | [잇츠한불] 퍼포먼스마케팅&이커머스(파트장) 경력직 공고 - 리멤버,(주)헤딩써치에서 [잇츠한불] 퍼포먼스마케팅&이커머스(파트장)를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,45
334046,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/334046,(주)헤딩써치 채용 | [제주 5성급 호텔]총지배인(GM) 경력직 공고 - 리멤버,(주)헤딩써치에서 [제주 5성급 호텔]총지배인(GM)를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
334061,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/334061,(주)헤딩써치 채용 | 아티스트 IP 사업기획/운영 경력직 공고 - 리멤버,(주)헤딩써치에서 아티스트 IP 사업기획/운영를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
334336,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/334336,(주)헤딩써치 채용 | 준법감시인 및 위험관리책임자 경력직 공고 - 리멤버,(주)헤딩써치에서 준법감시인 및 위험관리책임자를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
334619,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/334619,(주)헤딩써치 채용 | Principal ASIC FAE / Applications Principal Engineer 경력직 공고 - 리멤버,(주)헤딩써치에서 Principal ASIC FAE / Applications Principal Engineer를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,55
